序号	地市	区县	客户需求经度	客户需求纬度	岸段类型	站名（是否新建站点）	站名编码	经度	纬度	铁塔类型	高度	机房类型	离海岸线距离1000之内	离海岸线距离1000~2000	离海岸线距离2000~3000
1	福州市	罗源县	119.792835	26.558947	养殖区										
2	福州市	罗源县	119.780498	26.562222	居民区										
3	福州市	罗源县	119.759422	26.545297	养殖区										
4	福州市	罗源县	119.781604	26.525238	居民区										
5	福州市	罗源县	119.797661	26.512928	养殖区										
6	福州市	罗源县	119.796317	26.504201	养殖区										
7	福州市	罗源县	119.792334	26.495381	养殖区										
8	福州市	罗源县	119.813972	26.477616	养殖区										
9	福州市	罗源县	119.816962	26.458651	养殖区										
10	福州市	罗源县	119.816641	26.443439	居民区										
11	福州市	罗源县	119.792043	26.420544	河口										
12	福州市	罗源县	119.800924	26.433781	河口										
13	福州市	罗源县	119.776221	26.413276	港口码头										
14	福州市	连江县	119.802689	26.405434	港口码头										
15	福州市	罗源县	119.723844	26.446197	居民区										
16	福州市	罗源县	119.741742	26.456893	居民区										
17	福州市	罗源县	119.6848	26.468682	港口码头										
18	福州市	罗源县	119.635038	26.483135	港口码头										
19	福州市	罗源县	119.616192	26.468465	居民区										
20	福州市	连江县	119.652573	26.441989	养殖区										
21	福州市	连江县	119.657673	26.403781	养殖区										
22	福州市	连江县	119.664009	26.376059	居民区										
23	福州市	连江县	119.678596	26.34462	养殖区										
24	福州市	连江县	119.750019	26.36616	工业区										
25	福州市	连江县	119.735071	26.361172	养殖区										
26	福州市	连江县	119.845203	26.413355	养殖区										
27	福州市	连江县	119.851116	26.405495	养殖区										
28	福州市	连江县	119.83429	26.420594	养殖区										
29	福州市	连江县	119.859226	26.387812	养殖区										
30	福州市	连江县	119.839606	26.389883	养殖区										
31	福州市	连江县	119.856961	26.352719	养殖区										
32	福州市	连江县	119.876233	26.351127	养殖区										
33	福州市	连江县	119.918189	26.360548	港口码头										
34	福州市	连江县	119.93178	26.36591	居民区										
35	福州市	连江县	119.861389	26.320528	居民区										
36	福州市	连江县	119.841166	26.332597	养殖区										
37	福州市	连江县	119.791768	26.312412	养殖区										
38	福州市	连江县	119.78392	26.289259	居民区										
39	福州市	连江县	119.652842	26.247994	河口										
40	福州市	连江县	119.654647	26.216369	居民区										
41	福州市	连江县	119.627899	26.171526	旅游区										
42	福州市	马尾区	119.589592	26.130085	养殖区										
43	福州市	连江县	119.643962	26.159693	旅游区										
44	福州市	马尾区	119.511973	26.074514	养殖区										
45	福州市	马尾区	119.550805	26.076534	河口										
46	福州市	长乐区	119.63653	26.024229	养殖区										
47	福州市	长乐区	119.60789	26.037626	养殖区										
48	福州市	福清市	119.467746	25.647343	养殖区										
49	福州市	福清市	119.540007	25.58447	内湾坳口										
50	福州市	福清市	119.570416	25.579944	内湾坳口										
51	福州市	福清市	119.594058	25.566062	居民区										
52	福州市	福清市	119.606977	25.560579	养殖区										
53	福州市	福清市	119.612271	25.543164	养殖区										
54	福州市	福清市	119.600145	25.510022	养殖区										
55	福州市	福清市	119.627899	25.468709	养殖区										
56	平潭	平潭综合实验区	119.705889	25.640689	居民区										
57	平潭	平潭综合实验区	119.672447	25.657671	居民区										
58	平潭	平潭综合实验区	119.702213	25.620459	居民区										
59	平潭	平潭综合实验区	119.689024	25.586912	养殖区										
60	平潭	平潭综合实验区	119.706181	25.575052	港口码头										
61	平潭	平潭综合实验区	119.725112	25.635319	旅游区										
62	平潭	平潭综合实验区	119.738091	25.641272	内湾坳口										
63	平潭	平潭综合实验区	119.879221	25.566867	港口码头										
64	平潭	平潭综合实验区	119.855144	25.541063	旅游区										
65	平潭	平潭综合实验区	119.805004	25.49687	旅游区										
66	平潭	平潭综合实验区	119.823807	25.48853	旅游区										
67	平潭	平潭综合实验区	119.856754	25.479052	居民区										
68	平潭	平潭综合实验区	119.791833	25.455599	居民区										
69	平潭	平潭综合实验区	119.807302	25.462199	养殖区										
70	平潭	平潭综合实验区	119.723659	25.513218	港口码头										
71	平潭	平潭综合实验区	119.701318	25.440814	港口码头										
72	福州市	福清市	119.629557	25.431895	养殖区										
73	福州市	福清市	119.644022	25.427767	养殖区										
74	福州市	福清市	119.655437	25.386635	养殖区										
75	福州市	福清市	119.629426	25.364625	居民区										
76	福州市	福清市	119.647769	25.360175	居民区										
77	福州市	福清市	119.596301	25.341223	旅游区										
78	福州市	福清市	119.510203	25.400328	旅游区										
79	福州市	连江县	119.811307	26.410708	港口码头										
80	福州市	连江县	119.648578	26.144919	养殖区										
81	平潭	平潭综合实验区	119.683758	25.502687	旅游区										
82	平潭	平潭综合实验区	119.695378	25.512534	旅游区										
83	平潭	平潭综合实验区	119.709554	25.509183	内湾坳口										
84	福州市	福清市	119.534698	25.625398	养殖区										
85	平潭	平潭综合实验区	119.709565	25.53675	居民区										
86	平潭	平潭综合实验区	119.746807	25.629996	内湾坳口										
87	平潭	平潭综合实验区	119.785379	25.6619	港口码头										
88	平潭	平潭综合实验区	119.775589	25.649504	旅游区										
89	平潭	平潭综合实验区	119.785703	25.610538	旅游区										
90	平潭	平潭综合实验区	119.819994	25.583717	养殖区										
91	平潭	平潭综合实验区	119.859803	25.562985	居民区										
92	福州市	连江县	119.81922	26.425272	养殖区										
93	福州市	连江县	119.813087	26.418387	养殖区										
94	福州市	连江县	119.865742	26.376279	养殖区										
95	福州市	连江县	119.883112	26.352845	养殖区										
96	平潭	平潭综合实验区	119.844588	25.482286	居民区										
97	福州市	罗源县	119.778457	26.541891	养殖区										
98	福州市	罗源县	119.800013	26.478573	养殖区										
99	福州市	罗源县	119.754371	26.448161	养殖区										
100	福州市	罗源县	119.774555	26.433401	居民区										
101	福州市	罗源县	119.706998	26.463161	港口码头										
102	福州市	罗源县	119.639349	26.443002	居民区										
103	福州市	连江县	119.645367	26.445974	养殖区										
104	福州市	连江县	119.660116	26.419198	养殖区										
105	福州市	连江县	119.654439	26.391658	养殖区										
106	福州市	连江县	119.658699	26.382021	养殖区										
107	福州市	连江县	119.659789	26.354083	养殖区										
108	福州市	连江县	119.746279	26.357273	居民区										
109	福州市	连江县	119.734426	26.356545	养殖区										
110	福州市	连江县	119.836973	26.427975	养殖区										
111	福州市	连江县	119.925753	26.36122	港口码头										
112	福州市	连江县	119.938745	26.35557	居民区										
113	福州市	连江县	119.922849	26.343278	居民区										
114	福州市	连江县	119.899578	26.323716	养殖区										
115	福州市	连江县	119.799449	26.279748	养殖区										
116	福州市	连江县	119.809794	26.28987	养殖区										
117	福州市	连江县	119.789362	26.282448	居民区										
118	福州市	连江县	119.794436	26.277392	居民区										
119	福州市	连江县	119.753248	26.293184	养殖区										
120	福州市	连江县	119.623886	26.259976	河口										
121	福州市	连江县	119.635563	26.252534	河口										
122	福州市	连江县	119.639528	26.136383	养殖区										
123	福州市	连江县	119.565783	26.135039	河口										
124	福州市	长乐区	119.5201	26.057758	养殖区										
125	福州市	长乐区	119.576367	26.047594	河口										
126	福州市	长乐区	119.595276	26.045737	河口										
127	福州市	长乐区	119.676887	26.018714	居民区										
128	福州市	长乐区	119.651957	26.016272	养殖区										
129	福州市	长乐区	119.605847	25.82442	内湾坳口										
130	福州市	长乐区	119.609749	25.739291	养殖区										
131	福州市	福清市	119.486308	25.629305	养殖区										
132	福州市	福清市	119.533517	25.586778	居民区										
133	福州市	福清市	119.60902	25.492276	养殖区										
134	福州市	福清市	119.6132	25.43934	居民区										
135	福州市	福清市	119.617866	25.345206	旅游区										
136	平潭	平潭综合实验区	119.707971	25.624656	养殖区										
137	平潭	平潭综合实验区	119.747134	25.642307	居民区										
138	平潭	平潭综合实验区	119.782379	25.656263	港口码头										
139	福州市	罗源县	119.790012	26.496681	居民区										
140	福州市	马尾区	119.598627	26.066521	河口										
